12:2.212;ID:1;1;n; 1149; 466; 23520724; 97568; 23247682; 371341; 0
14:43.925;ID:5;5;100; 1358; 551; 271303; 115101; 28414208; 519888; 2
14:43.960;ID:3;3;100; 1241; 718; 266410; 106605; 28414065; 520031; 1
14:44.060;ID:14;14;100; 317; 45; 194603; 30636; 28738758; 195330; 3
14:44.117;ID:15;15;100; 319; 41; 192594; 31772; 28738314; 195774; 3
14:44.143;ID:6;6;100; 1215; 408; 248630; 103179; 28478953; 455143; 2
14:44.309;ID:7;7;100; 1202; 496; 250566; 103195; 28457383; 476713; 2
14:44.326;ID:9;9;100; 365; 37; 194399; 35044; 28732668; 201429; 3
14:44.335;ID:11;11;100; 276; 44; 193053; 27638; 28742966; 191122; 3
14:44.417;ID:12;12;100; 296; 38; 192693; 29326; 28742634; 191454; 3
14:44.562;ID:10;10;100; 349; 44; 193423; 33695; 28733387; 200702; 3
14:44.599;ID:2;2;100; 1256; 674; 272176; 106591; 28427420; 506676; 1
14:44.674;ID:4;4;100; 1544; 415; 282651; 130706; 28440941; 493155; 2
14:44.763;ID:13;13;100; 329; 38; 192028; 32117; 28737499; 196590; 3
14:44.768;ID:8;8;100; 285; 36; 194040; 28429; 28744414; 189682; 3
