9:7.647;ID:1;1;n; 1185; 386; 16936935; 93814; 17048183; 344342; 0
11:49.866;ID:8;8;98; 281; 36; 154413; 27924; 22551877; 156104; 3
11:49.866;ID:14;14;99; 687; 70; 164170; 53848; 22506083; 201807; 3
11:49.868;ID:11;11;99; 278; 27; 153028; 22258; 22560643; 147467; 3
11:49.868;ID:12;12;100; 922; 77; 175879; 83266; 22469525; 238277; 3
11:49.869;ID:3;3;100; 1125; 606; 233521; 88492; 22282150; 425788; 1
11:49.869;ID:9;9;99; 353; 48; 156001; 31374; 22543478; 164464; 3
11:49.870;ID:5;5;99; 1187; 477; 213422; 89335; 22315410; 392700; 2
11:49.870;ID:2;2;100; 1273; 585; 223503; 97861; 22261156; 446733; 1
11:49.870;ID:10;10;99; 336; 47; 154805; 25309; 22552176; 155934; 3
11:49.870;ID:6;6;100; 1199; 544; 216898; 93373; 22297982; 409807; 2
11:49.872;ID:13;13;100; 955; 76; 172303; 81971; 22469818; 238072; 3
11:49.872;ID:15;15;99; 699; 74; 167135; 56948; 22501580; 206352; 3
11:49.873;ID:7;7;99; 1145; 485; 211649; 89908; 22297237; 410873; 2
11:49.919;ID:4;4;99; 1135; 380; 213010; 93724; 22278915; 429249; 2
