12:1.379;ID:1;1;n; 4331; 108; 23265615; 327183; 22805881; 787542; 0
14:43.900;ID:10;10;100; 330; 45; 193381; 31460; 28736939; 197149; 2
14:43.948;ID:11;11;99; 671; 82; 205803; 59562; 28690435; 243653; 2
14:44.018;ID:2;2;100; 4087; 221; 218877; 313019; 28220459; 713637; 1
14:44.123;ID:5;5;100; 420; 56; 198949; 38746; 28724280; 209816; 2
14:44.297;ID:3;3;100; 4079; 215; 221043; 313607; 28224850; 709246; 1
14:44.408;ID:8;8;100; 287; 41; 190761; 28602; 28742085; 192011; 2
14:44.462;ID:12;12;99; 649; 79; 205744; 57727; 28690589; 243499; 2
14:44.484;ID:7;7;100; 344; 46; 191834; 33002; 28735386; 198710; 2
14:44.564;ID:6;6;100; 530; 75; 201970; 47558; 28704469; 229627; 2
14:44.618;ID:9;9;100; 328; 40; 195127; 31357; 28739466; 194630; 2
14:44.655;ID:4;4;99; 3984; 223; 232831; 304643; 28234232; 699864; 1
14:44.856;ID:13;13;99; 364; 53; 190698; 35124; 28729705; 204383; 2
