9:3.691;ID:1;1;n; 4331; 108; 16581440; 320372; 16654706; 712517; 0
11:46.683;ID:7;7;99; 270; 32; 150111; 22206; 22560491; 147517; 2
11:46.684;ID:12;12;99; 657; 72; 166563; 53958; 22505719; 202124; 2
11:46.684;ID:13;13;99; 738; 93; 167137; 58040; 22492831; 215012; 2
11:46.684;ID:9;9;98; 730; 84; 166306; 54937; 22501362; 206449; 2
11:46.685;ID:2;2;99; 4033; 189; 187349; 300097; 22062722; 645388; 1
11:46.686;ID:11;11;99; 817; 78; 171317; 72236; 22482187; 225686; 2
11:46.688;ID:10;10;98; 1255; 67; 181897; 100186; 22446663; 261447; 2
11:46.688;ID:5;5;99; 317; 35; 152722; 27904; 22551624; 156413; 2
11:46.689;ID:8;8;97; 1117; 63; 183176; 92171; 22457606; 250504; 2
11:46.689;ID:6;6;99; 313; 43; 152093; 23336; 22557082; 150808; 2
11:46.690;ID:3;3;98; 3976; 228; 184800; 301386; 22055935; 652175; 1
11:46.690;ID:4;4;99; 3987; 212; 180172; 301912; 22059984; 648126; 1
