12:1.126;ID:1;1;n; 1163; 107; 23530115; 87965; 22851888; 760141; 0
14:43.376;ID:5;5;100; 171; 47; 771989; 15085; 28590768; 340560; 2
14:43.376;ID:10;10;99; 185; 56; 779285; 16235; 28587341; 344315; 2
14:43.384;ID:3;3;99; 1199; 238; 900919; 91843; 28146684; 784629; 1
14:43.454;ID:4;4;100; 1179; 206; 812114; 89996; 28179480; 751809; 1
14:43.467;ID:8;8;99; 200; 55; 766530; 17573; 28585674; 345583; 2
14:43.520;ID:9;9;73; 197; 51; 761650; 17024; 28592076; 339280; 2
14:43.738;ID:2;2;100; 1226; 232; 823275; 93628; 28159201; 772067; 1
14:43.957;ID:13;13;100; 209; 57; 767971; 17983; 28588795; 342831; 2
14:43.987;ID:6;6;100; 165; 50; 762704; 14440; 28596897; 334513; 2
14:43.992;ID:11;11;100; 156; 45; 764915; 13827; 28598507; 333116; 2
14:44.032;ID:7;7;100; 216; 64; 846810; 18696; 28581400; 349931; 2
14:44.214;ID:12;12;100; 125; 31; 761397; 11325; 28611421; 320035; 2
