0;3;51;1
0;2;86;1
0;4;120;1
0;9;155;2
0;12;167;2
0;5;170;2
0;8;191;2
0;6;199;2
0;11;203;2
0;7;236;2
0;10;237;2
0;13;239;2
1;3;45;1
1;2;77;1
1;10;101;2
1;4;110;1
1;6;130;2
1;9;149;2
1;7;163;2
1;13;169;2
1;8;180;2
1;5;194;2
1;11;197;2
1;12;222;2
2;3;35;1
2;2;71;1
2;10;94;2
2;6;123;2
2;9;139;2
2;7;156;2
2;8;174;2
2;5;187;2
2;4;228;1
2;12;274;2
2;11;311;2
2;13;346;2
3;3;61;1
3;4;95;1
3;10;120;2
3;12;143;2
3;8;168;2
3;13;184;2
3;9;195;2
3;11;211;2
3;2;250;1
3;6;304;2
3;7;337;2
3;5;365;2
4;3;52;1
4;4;89;1
4;2;119;1
4;12;136;2
4;8;157;2
4;6;169;2
4;13;177;2
4;9;188;2
4;5;202;2
4;11;204;2
4;7;233;2
4;10;238;2
5;3;43;1
5;10;73;2
5;2;78;1
5;4;111;1
5;6;131;2
5;8;150;2
5;11;163;2
5;7;164;2
5;9;178;2
5;12;189;2
5;5;195;2
5;13;233;2
6;2;37;1
6;4;74;1
6;3;96;1
6;11;125;2
6;5;125;2
6;10;126;2
6;12;150;2
6;7;157;2
6;9;171;2
6;6;186;2
6;13;191;2
6;8;206;2
7;3;59;1
7;4;96;1
7;2;125;1
7;12;143;2
7;8;168;2
7;7;181;2
7;13;184;2
7;9;196;2
7;5;209;2
7;11;211;2
7;6;238;2
7;10;244;2
8;3;53;1
8;2;84;1
8;10;112;2
8;6;138;2
8;8;157;2
8;7;170;2
8;9;185;2
8;5;202;2
8;4;242;1
8;13;302;2
8;11;329;2
8;12;352;2
9;3;45;1
9;2;80;1
9;4;112;1
9;6;132;2
9;9;148;2
9;12;158;2
9;5;165;2
9;8;183;2
9;11;195;2
9;7;196;2
9;10;227;2
9;13;230;2
10;3;34;1
10;2;70;1
10;10;94;2
10;6;120;2
10;9;141;2
10;7;157;2
10;8;174;2
10;5;185;2
10;4;227;1
10;12;275;2
10;13;316;2
10;11;343;2
11;3;60;1
11;4;97;1
11;2;127;1
11;12;144;2
11;8;165;2
11;6;177;2
11;13;185;2
11;9;194;2
11;7;210;2
11;11;212;2
11;5;241;2
11;10;245;2
12;3;51;1
12;10;78;2
12;2;117;1
12;4;150;1
12;6;170;2
12;9;187;2
12;11;202;2
12;7;203;2
12;8;221;2
12;12;228;2
12;5;231;2
12;13;272;2
13;3;44;1
13;2;76;1
13;10;102;2
13;6;132;2
13;9;149;2
13;7;164;2
13;8;183;2
13;5;196;2
13;4;234;1
13;12;283;2
13;11;320;2
13;13;355;2
14;3;35;1
14;2;67;1
14;8;79;2
14;5;92;2
14;9;107;2
14;7;126;2
14;6;152;2
14;10;158;2
14;4;228;1
14;12;276;2
14;13;317;2
14;11;344;2
15;2;61;1
15;3;89;1
15;6;114;2
15;10;120;2
15;7;147;2
15;9;163;2
15;5;179;2
15;8;197;2
15;4;219;1
15;13;278;2
15;11;306;2
15;12;328;2
16;3;51;1
16;2;86;1
16;4;119;1
16;6;138;2
16;8;159;2
16;12;165;2
16;7;171;2
16;9;187;2
16;11;202;2
16;5;203;2
16;10;234;2
16;13;237;2
17;3;42;1
17;2;77;1
17;10;102;2
17;7;133;2
17;8;148;2
17;5;161;2
17;9;180;2
17;6;191;2
17;4;235;1
17;12;283;2
17;13;324;2
17;11;351;2
18;2;37;1
18;4;73;1
18;6;91;2
18;12;121;2
18;7;124;2
18;5;155;2
18;13;161;2
18;3;189;1
18;10;221;2
18;11;251;2
18;9;264;2
18;8;299;2
19;2;62;1
19;3;90;1
19;6;115;2
19;8;132;2
19;7;148;2
19;9;164;2
19;5;180;2
19;10;211;2
19;4;252;1
19;12;298;2
19;11;335;2
19;13;373;2
20;3;51;1
20;2;83;1
20;10;109;2
20;6;138;2
20;9;153;2
20;7;171;2
20;8;187;2
20;5;200;2
20;4;242;1
20;12;290;2
20;11;326;2
20;13;362;2
21;3;44;1
21;2;78;1
21;10;103;2
21;7;131;2
21;9;147;2
21;5;162;2
21;8;180;2
21;6;191;2
21;4;233;1
21;13;293;2
21;11;320;2
21;12;346;2
22;3;34;1
22;10;64;2
22;4;102;1
22;2;131;1
22;13;162;2
22;9;171;2
22;6;184;2
22;11;185;2
22;8;205;2
22;12;211;2
22;7;217;2
22;5;245;2
23;3;60;1
23;4;97;1
23;2;126;1
23;12;142;2
23;8;168;2
23;6;178;2
23;11;179;2
23;9;194;2
23;7;211;2
23;13;215;2
23;5;240;2
23;10;245;2
24;3;50;1
24;10;78;2
24;2;117;1
24;4;150;1
24;7;173;2
24;9;187;2
24;12;198;2
24;5;201;2
24;8;220;2
24;6;230;2
24;13;239;2
24;11;266;2
25;3;44;1
25;2;76;1
25;10;103;2
25;6;130;2
25;8;150;2
25;7;163;2
25;9;180;2
25;5;194;2
25;4;234;1
25;13;294;2
25;11;321;2
25;12;344;2
26;3;35;1
26;2;70;1
26;4;103;1
26;6;119;2
26;8;143;2
26;12;149;2
26;7;156;2
26;9;169;2
26;11;186;2
26;5;187;2
26;10;221;2
26;13;221;2
27;3;57;1
27;10;85;2
27;2;123;1
27;4;156;1
27;6;175;2
27;8;195;2
27;12;205;2
27;7;211;2
27;9;225;2
27;5;239;2
27;13;245;2
27;11;273;2
28;3;52;1
28;2;87;1
28;10;110;2
28;6;138;2
28;9;157;2
28;7;170;2
28;8;190;2
28;5;202;2
28;4;245;1
28;12;293;2
28;13;333;2
28;11;360;2
29;3;43;1
29;2;78;1
29;10;104;2
29;6;131;2
29;8;148;2
29;7;164;2
29;9;178;2
29;5;195;2
29;4;236;1
29;11;288;2
29;12;314;2
29;13;357;2
30;2;37;1
30;5;60;2
30;3;95;1
30;6;124;2
30;10;128;2
30;7;157;2
30;9;171;2
30;8;203;2
30;4;229;1
30;11;280;2
30;12;306;2
30;13;347;2
31;2;62;1
31;3;90;1
31;7;115;2
31;10;118;2
31;5;147;2
31;8;165;2
31;6;176;2
31;9;195;2
31;4;252;1
31;12;299;2
31;13;340;2
31;11;367;2
32;3;52;1
32;2;83;1
32;10;109;2
32;6;136;2
32;9;153;2
32;7;170;2
32;8;188;2
32;5;201;2
32;4;241;1
32;13;301;2
32;11;328;2
32;12;350;2
33;3;43;1
33;2;78;1
33;10;103;2
33;6;130;2
33;9;147;2
33;7;164;2
33;8;182;2
33;5;195;2
33;4;236;1
33;12;282;2
