12:1.126;ID:1;1;n; 1399; 510; 23504286; 114425; 22745581; 867815; 0
14:43.376;ID:5;5;100; 171; 47; 783602; 15085; 28594157; 337211; 2
14:43.377;ID:10;10;100; 167; 48; 799979; 14784; 28595069; 336591; 2
14:43.385;ID:3;3;100; 1310; 910; 980431; 107065; 27856395; 1074926; 1
14:43.455;ID:4;4;100; 1285; 574; 891542; 104961; 27972710; 958548; 1
14:43.467;ID:8;8;100; 184; 51; 772543; 16107; 28591939; 339470; 2
14:43.520;ID:9;9;100; 184; 44; 788731; 15973; 28593786; 337579; 2
14:43.738;ID:2;2;100; 1344; 683; 896579; 109754; 27935985; 995301; 1
14:43.957;ID:13;13;100; 209; 57; 797473; 17983; 28588278; 343302; 2
14:43.987;ID:6;6;100; 165; 50; 765788; 14440; 28596307; 335017; 2
14:43.992;ID:11;11;100; 156; 44; 794143; 13827; 28598200; 333395; 2
14:44.032;ID:7;7;100; 216; 64; 852559; 18696; 28584037; 347294; 2
14:44.214;ID:12;12;100; 125; 31; 777490; 11326; 28611114; 320375; 2
