0;3;39;1
0;2;42;1
0;4;43;1
0;6;99;2
0;7;113;2
0;8;184;2
0;11;185;2
0;13;189;2
0;10;191;2
0;9;194;2
0;12;206;2
1;3;34;1
1;4;37;1
1;2;37;1
1;11;87;2
1;13;87;2
1;12;105;2
1;8;115;2
1;10;119;2
1;9;123;2
1;5;193;2
1;7;200;2
2;3;24;1
2;4;27;1
2;2;27;1
2;6;116;2
2;5;123;2
2;7;127;2
2;8;169;2
2;11;173;2
2;13;173;2
2;10;176;2
2;9;179;2
2;12;191;2
3;2;20;1
3;4;20;1
3;3;49;1
3;6;77;2
3;5;84;2
3;7;87;2
3;11;165;2
3;13;165;2
3;12;183;2
3;8;193;2
3;10;197;2
3;9;200;2
4;3;39;1
4;4;42;1
4;2;43;1
4;5;169;2
4;7;176;2
4;8;185;2
4;11;186;2
4;10;189;2
4;13;189;2
4;9;192;2
4;12;207;2
5;3;33;1
5;4;36;1
5;2;36;1
5;11;84;2
5;13;87;2
5;12;106;2
5;8;177;2
5;10;181;2
5;9;184;2
5;6;186;2
5;5;193;2
5;7;197;2
6;3;24;1
6;4;27;1
6;2;28;1
6;11;77;2
6;13;80;2
6;12;99;2
6;5;122;2
6;7;130;2
6;8;138;2
6;10;145;2
6;9;148;2
7;2;21;1
7;4;21;1
7;3;46;1
7;6;77;2
7;5;84;2
7;7;88;2
7;11;103;2
7;13;103;2
7;12;121;2
7;8;162;2
7;10;166;2
7;9;169;2
8;3;39;1
8;2;43;1
8;4;43;1
8;11;125;2
8;13;125;2
8;12;143;2
8;8;153;2
8;10;157;2
8;9;160;2
8;5;199;2
8;7;206;2
9;3;33;1
9;4;36;1
9;2;37;1
9;11;87;2
9;13;87;2
9;6;92;2
9;5;98;2
9;12;105;2
9;7;105;2
9;8;113;2
9;10;121;2
9;9;124;2
10;3;24;1
10;2;27;1
10;4;27;1
10;5;122;2
10;7;129;2
10;8;138;2
10;10;142;2
10;9;145;2
10;13;173;2
10;11;173;2
10;12;191;2
11;4;20;1
11;2;21;1
11;3;46;1
11;8;98;2
11;11;102;2
11;13;102;2
11;10;105;2
11;9;108;2
11;12;120;2
11;5;176;2
11;7;184;2
12;3;39;1
12;4;43;1
12;2;43;1
12;6;99;2
12;5;106;2
12;7;113;2
12;8;122;2
12;10;126;2
12;9;129;2
12;11;157;2
12;13;157;2
12;12;175;2
13;3;30;1
13;4;33;1
13;2;33;1
13;11;115;2
13;13;118;2
13;12;136;2
13;8;145;2
13;10;149;2
13;9;153;2
13;6;185;2
13;7;199;2
14;3;24;1
14;2;27;1
14;4;27;1
14;5;153;2
14;7;161;2
14;11;169;2
14;8;171;2
14;13;173;2
14;10;174;2
14;9;178;2
14;12;191;2
15;2;20;1
15;4;21;1
15;3;47;1
15;6;76;2
15;5;84;2
15;7;87;2
15;11;134;2
15;13;134;2
15;12;152;2
15;8;193;2
15;10;196;2
15;9;200;2
16;3;40;1
16;2;43;1
16;4;43;1
16;6;100;2
16;5;107;2
16;7;111;2
16;8;122;2
16;10;126;2
16;9;130;2
16;11;153;2
16;13;157;2
16;12;175;2
17;3;30;1
17;4;34;1
17;2;37;1
17;8;114;2
17;10;118;2
17;9;122;2
17;11;145;2
17;13;149;2
17;12;167;2
17;6;186;2
17;5;193;2
17;7;196;2
18;3;24;1
18;4;27;1
18;2;27;1
18;8;75;2
18;11;76;2
18;10;79;2
18;13;79;2
18;9;82;2
18;12;97;2
18;5;121;2
18;7;129;2
19;2;20;1
19;4;20;1
19;3;46;1
19;11;66;2
19;13;69;2
19;6;77;2
19;5;84;2
19;12;87;2
19;7;88;2
19;8;131;2
19;10;134;2
19;9;138;2
20;3;40;1
20;4;43;1
20;2;44;1
20;6;98;2
20;7;112;2
20;11;155;2
20;13;155;2
20;12;173;2
20;8;184;2
20;10;188;2
20;9;191;2
21;3;31;1
21;4;34;1
21;2;37;1
21;11;87;2
21;13;87;2
21;6;91;2
21;12;105;2
21;7;105;2
21;8;177;2
21;10;181;2
21;9;184;2
22;3;24;1
22;2;27;1
22;4;28;1
22;8;75;2
22;10;79;2
22;9;83;2
22;13;110;2
22;11;110;2
22;6;115;2
22;12;128;2
22;7;129;2
23;4;20;1
23;2;21;1
23;3;46;1
23;6;76;2
23;5;83;2
23;7;87;2
23;8;161;2
23;11;164;2
23;13;164;2
23;10;165;2
23;9;168;2
23;12;182;2
24;3;39;1
24;4;42;1
24;2;43;1
24;8;92;2
24;10;95;2
24;9;99;2
24;11;188;2
24;13;188;2
24;6;192;2
24;5;199;2
24;12;206;2
24;7;207;2
25;3;30;1
25;4;33;1
25;2;36;1
25;8;114;2
25;10;117;2
25;9;121;2
25;6;123;2
25;5;130;2
25;7;133;2
25;11;148;2
25;13;148;2
25;12;166;2
26;3;24;1
26;4;27;1
26;2;28;1
26;8;77;2
26;10;80;2
26;9;84;2
26;11;109;2
26;13;109;2
26;12;127;2
26;6;146;2
26;5;153;2
26;7;160;2
27;4;21;1
27;2;21;1
27;3;46;1
27;8;130;2
27;10;134;2
27;9;137;2
27;11;165;2
27;13;165;2
27;6;169;2
27;5;176;2
27;12;183;2
27;7;184;2
28;3;40;1
28;2;43;1
28;4;43;1
28;6;130;2
28;5;137;2
28;7;144;2
28;8;154;2
28;11;157;2
28;13;157;2
28;10;158;2
28;9;162;2
28;12;175;2
29;3;30;1
29;4;33;1
29;2;36;1
29;6;122;2
29;5;129;2
29;7;136;2
29;8;177;2
29;11;177;2
29;10;180;2
29;13;181;2
29;9;184;2
29;12;199;2
30;3;24;1
30;4;26;1
30;2;27;1
30;11;77;2
30;13;77;2
30;6;84;2
30;5;91;2
30;7;94;2
30;12;95;2
30;8;106;2
30;10;110;2
30;9;113;2
31;2;20;1
31;4;20;1
31;3;46;1
31;6;77;2
31;5;84;2
31;7;87;2
31;8;161;2
31;11;161;2
31;10;164;2
31;13;165;2
31;9;168;2
31;12;183;2
32;3;40;1
32;4;43;1
32;2;43;1
32;8;123;2
32;10;126;2
32;6;129;2
32;9;130;2
32;5;137;2
32;7;140;2
32;11;184;2
32;13;187;2
32;12;205;2
33;3;30;1
33;4;34;1
33;2;37;1
33;8;115;2
33;10;119;2
33;6;122;2
33;9;123;2
33;5;130;2
33;7;133;2
33;11;146;2
33;13;150;2
33;12;168;2
34;3;23;1
34;2;27;1
34;4;28;1
34;6;83;2
34;5;90;2
34;7;97;2
34;8;107;2
34;10;111;2
34;9;115;2
